internship_id,Date,Time,profile,company,Location,Min Stipend,Max Stipend,Duration,Apply by Date,Education,Skills,Perks,Number of Skills,Number of Perks
2025WSHP1202,9/21/2025,15:41:43,Creative,School Of Politics,Work from home,5000,15000,26,5 October 2025,Unknown,"Adobe Premiere Pro, Video Editing, Video Making",Certificate,3,1
2025WSHP1203,9/21/2025,15:48:25,Creative,Collabox,Work from home,2000,5000,13,18 October 2025,Unknown,"ChatGPT, Client Relationship Management (CRM), Data entry, Effective Communication, Google Sheets, Influencer Marketing, Instagram Marketing, Notion","Certificate, Flexible, Letter Of Recommendation, Mentorship",8,4
2025WSHP1204,9/21/2025,16:15:45,Creative,Solucionvalley IT Solutions (OPC) Private Limited,Work from home,0,8000,13,Unknown,Unknown,"Adobe After Effects, Digital Marketing, English Proficiency (Spoken), Video Editing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",4,4
2025WSHP1205,9/27/2025,20:43:43,Others,Material Depot,Bangalore,15000,16000,13,Unknown,Unknown,"Google Sheets, MS-Excel","Certificate, Letter Of Recommendation",2,2
2025WSHP1206,9/21/2025,15:25:12,Others,Solvitude,Work from home,1000,1500,1,11 October 2025,Unknown,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Marathi Proficiency(Spoken), Marathi Proficiency(Written), Proofreading, Voice-over artist",Certificate,7,1
2025WSHP1207,9/27/2025,20:36:51,Creative,Travaya Holidays LLP,Bangalore,2750,5500,9,8 October 2025,Unknown,Social Media Marketing,"Certificate, Flexible, Letter Of Recommendation",1,3
2025WSHP1208,9/27/2025,22:06:11,Creative,Ruchicaz Overseas,Noida,10000,12000,26,Unknown,Unknown,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel",Unknown,3,0
2025WSHP1209,9/21/2025,15:24:31,Creative,Cogent Web Services,Work from home,0,6000,13,11 October 2025,Unknown,"Digital Marketing, Social Media Marketing","Certificate, Letter Of Recommendation",2,2
2025WSHP1210,9/27/2025,22:37:22,Exclude,Simply Body Talk,Pune,0,0,9,24 October 2025,Other,"Effective Communication, English Proficiency (Spoken), Interpersonal skills, Sales","Certificate, Flexible, Letter Of Recommendation",4,3
2025WSHP1211,9/27/2025,23:16:14,Creative,Tisteps Private Limited,Chennai,30000,40000,26,5 November 2025,Unknown,"Product Development, Production Planning, Product Strategy","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",3,4
2025WSHP1212,9/27/2025,22:29:37,Creative,CyberFrat,Mumbai,7000,8000,26,18 October 2025,Unknown,"Content Marketing, Content Writing, Creative Writing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing, Public Speaking","Certificate, Letter Of Recommendation",8,2
2025WSHP1213,9/27/2025,22:59:06,Sales,Jolly Clamps Private Limited,Mumbai,10000,15000,26,8 October 2025,Unknown,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Recruitment",Certificate,5,1
